timestamp,agent_id,event_type,cultural_state,source_id,guild,narrative_coherence,strain_id
132,950,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
139,453,disenchantment,R,-1,Iconoclastes,0.4,RF-005
140,248,disenchantment,R,-1,Scribes,0.4,MV-011
140,955,disenchantment,R,-1,Scribes,0.4,MV-009
142,603,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
144,135,disenchantment,R,-1,Scribes,0.4,RF-005
144,381,disenchantment,R,-1,Iconoclastes,0.4,RF-005
145,110,disenchantment,R,-1,Iconoclastes,0.4,RF-005
146,633,disenchantment,R,-1,Anachorètes,0.4,RF-005
146,757,disenchantment,R,-1,Iconoclastes,0.4,MV-006
147,504,disenchantment,R,-1,Anachorètes,0.4,MV-003
148,401,disenchantment,R,-1,Scribes,0.4,RF-005
148,908,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
151,310,disenchantment,R,-1,Colporteurs,0.4,RF-005
153,454,disenchantment,R,-1,Iconoclastes,0.4,RF-005
154,334,disenchantment,R,-1,Anachorètes,0.4,RF-005
157,658,disenchantment,R,-1,Hérauts,0.5916666666666667,PR-004
163,137,disenchantment,R,-1,Iconoclastes,0.4,RF-005
163,665,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
164,792,disenchantment,R,-1,Anachorètes,0.4,RF-005
168,356,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
168,749,disenchantment,R,-1,Anachorètes,0.4,RF-005
171,680,disenchantment,R,-1,Scribes,0.4,MV-014
173,467,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
174,399,disenchantment,R,-1,Colporteurs,0.4,MV-015
175,208,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
184,109,disenchantment,R,-1,Anachorètes,0.4,MV-016
188,895,disenchantment,R,-1,Hérauts,0.4,SC-017
310,33,exposure,E,-1,Colporteurs,0.6666666666666667,PR-018
310,855,exposure,E,-1,Hérauts,0.6666666666666667,PR-018
316,33,disenchantment,R,-1,Colporteurs,0.6666666666666667,PR-018
374,855,disenchantment,R,-1,Hérauts,0.4,MV-020
403,134,exposure,E,-1,Colporteurs,0.5916666666666667,PR-022
410,134,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-022
466,70,exposure,E,-1,Iconoclastes,0.6166666666666667,PR-023
466,932,exposure,E,-1,Hérauts,0.6166666666666667,PR-023
474,932,disenchantment,R,-1,Hérauts,0.6166666666666667,PR-023
