timestamp,agent_a,agent_b,intensity,transmission_risk,transmission_occurred
43,293,866,6.209999999999999,0.7451999999999999,0
43,336,339,6.209999999999999,0.7451999999999999,1
43,344,347,2.07,0.24839999999999998,0
43,345,347,5.175,0.621,0
43,348,350,2.07,0.24839999999999998,1
43,374,377,2.07,0.24839999999999998,0
43,415,396,1.875,0.22499999999999998,1
43,468,469,5.175,0.621,1
43,499,500,1.875,0.22499999999999998,1
43,541,769,6.209999999999999,0.7451999999999999,1
43,544,546,6.209999999999999,0.7451999999999999,0
43,549,550,6.209999999999999,0.7451999999999999,1
43,553,555,6.209999999999999,0.7451999999999999,0
43,559,561,2.07,0.24839999999999998,0
43,599,203,5.175,0.621,1
43,637,645,5.175,0.621,0
43,697,699,5.175,0.621,1
43,698,755,5.175,0.621,1
43,714,718,5.175,0.621,0
43,730,731,2.07,0.24839999999999998,1
43,748,751,6.209999999999999,0.7451999999999999,1
43,764,993,5.175,0.621,0
43,765,129,5.175,0.621,0
43,808,811,5.175,0.621,1
43,810,222,5.175,0.621,0
43,856,711,2.484,0.29808,1
43,877,879,5.175,0.621,1
43,878,880,5.175,0.621,0
43,884,326,2.484,0.29808,0
43,887,798,6.209999999999999,0.7451999999999999,1
43,922,135,6.209999999999999,0.7451999999999999,0
43,923,925,6.209999999999999,0.7451999999999999,1
43,948,70,2.484,0.29808,0
43,954,957,5.175,0.621,1
43,960,961,5.175,0.621,1
43,965,384,5.175,0.621,1
44,35,393,6.209999999999999,0.7451999999999999,1
44,60,63,6.209999999999999,0.7451999999999999,1
44,84,87,6.209999999999999,0.7451999999999999,0
44,107,109,2.07,0.24839999999999998,0
44,112,115,2.07,0.24839999999999998,0
44,117,118,2.07,0.24839999999999998,0
44,123,125,6.209999999999999,0.7451999999999999,1
44,169,170,5.175,0.621,0
44,189,192,6.209999999999999,0.7451999999999999,1
44,208,211,5.175,0.621,1
44,210,212,5.175,0.621,0
44,219,425,5.175,0.621,0
44,221,223,5.175,0.621,0
44,244,422,6.209999999999999,0.7451999999999999,1
44,258,260,5.175,0.621,1
44,283,284,2.484,0.29808,1
44,287,288,6.209999999999999,0.7451999999999999,1
44,293,295,6.209999999999999,0.7451999999999999,1
44,332,718,2.484,0.29808,1
44,336,490,6.209999999999999,0.7451999999999999,1
44,338,601,6.209999999999999,0.7451999999999999,1
44,348,351,2.07,0.24839999999999998,0
44,374,558,2.07,0.24839999999999998,0
44,468,712,5.175,0.621,1
44,477,479,5.175,0.621,1
44,478,741,2.07,0.24839999999999998,1
44,501,504,0.75,0.09,0
44,502,503,1.875,0.22499999999999998,0
44,529,532,5.175,0.621,0
44,544,547,6.209999999999999,0.7451999999999999,0
44,559,561,2.07,0.24839999999999998,0
44,602,605,5.175,0.621,1
44,634,236,6.209999999999999,0.7451999999999999,1
44,635,692,5.175,0.621,0
44,636,131,6.209999999999999,0.7451999999999999,1
44,637,638,5.175,0.621,1
44,664,315,6.209999999999999,0.7451999999999999,1
44,669,670,6.209999999999999,0.7451999999999999,1
44,679,680,5.175,0.621,0
44,681,684,6.209999999999999,0.7451999999999999,1
44,732,735,5.175,0.621,1
44,734,325,5.175,0.621,0
44,748,612,6.209999999999999,0.7451999999999999,1
44,764,993,5.175,0.621,1
44,765,766,5.175,0.621,1
44,772,773,2.484,0.29808,1
44,812,814,5.175,0.621,0
44,828,472,5.175,0.621,1
44,830,410,5.175,0.621,0
44,849,688,6.209999999999999,0.7451999999999999,1
44,850,851,6.209999999999999,0.7451999999999999,1
44,856,857,2.484,0.29808,0
44,858,560,2.07,0.24839999999999998,1
44,859,861,2.484,0.29808,0
44,878,881,5.175,0.621,1
44,884,326,2.484,0.29808,0
44,887,889,6.209999999999999,0.7451999999999999,1
44,909,910,2.484,0.29808,1
44,922,784,6.209999999999999,0.7451999999999999,1
44,923,470,6.209999999999999,0.7451999999999999,0
44,926,904,2.484,0.29808,0
44,944,25,5.175,0.621,1
44,962,963,2.07,0.24839999999999998,0
45,45,47,2.484,0.29808,0
45,48,51,2.484,0.29808,0
45,75,76,2.484,0.29808,0
45,77,78,6.209999999999999,0.7451999999999999,0
45,80,81,2.484,0.29808,1
45,84,742,6.209999999999999,0.7451999999999999,1
45,107,109,2.07,0.24839999999999998,1
45,113,114,5.175,0.621,1
45,117,118,2.07,0.24839999999999998,0
45,166,167,5.175,0.621,1
45,169,170,5.175,0.621,1
45,187,361,6.209999999999999,0.7451999999999999,0
45,188,191,6.209999999999999,0.7451999999999999,0
45,189,630,6.209999999999999,0.7451999999999999,1
45,210,212,5.175,0.621,1
45,220,223,5.175,0.621,0
45,221,222,5.175,0.621,1
45,246,248,6.209999999999999,0.7451999999999999,1
45,249,250,6.209999999999999,0.7451999999999999,1
45,332,335,2.484,0.29808,0
45,336,940,6.209999999999999,0.7451999999999999,1
45,344,347,2.07,0.24839999999999998,0
45,345,347,5.175,0.621,1
45,346,349,2.07,0.24839999999999998,0
45,350,352,5.175,0.621,1
45,374,377,2.07,0.24839999999999998,1
45,415,875,1.875,0.22499999999999998,1
45,467,707,5.175,0.621,1
45,469,470,2.07,0.24839999999999998,0
45,478,93,2.07,0.24839999999999998,1
45,493,495,2.484,0.29808,0
45,501,659,0.75,0.09,0
45,502,503,1.875,0.22499999999999998,1
45,529,408,5.175,0.621,1
45,544,545,6.209999999999999,0.7451999999999999,1
45,552,555,6.209999999999999,0.7451999999999999,1
45,559,562,2.07,0.24839999999999998,0
45,666,885,6.209999999999999,0.7451999999999999,1
45,669,399,6.209999999999999,0.7451999999999999,1
45,677,803,5.175,0.621,1
45,681,682,6.209999999999999,0.7451999999999999,1
45,697,970,5.175,0.621,1
45,699,272,5.175,0.621,1
45,714,717,5.175,0.621,0
45,734,737,5.175,0.621,1
45,748,749,6.209999999999999,0.7451999999999999,1
45,751,92,6.209999999999999,0.7451999999999999,0
45,755,756,2.07,0.24839999999999998,0
45,765,129,5.175,0.621,1
45,772,774,2.484,0.29808,0
45,783,786,2.484,0.29808,0
45,788,387,2.484,0.29808,1
45,798,800,6.209999999999999,0.7451999999999999,1
45,812,815,5.175,0.621,1
45,829,832,2.07,0.24839999999999998,0
45,830,832,5.175,0.621,1
45,850,853,6.209999999999999,0.7451999999999999,1
45,856,857,2.484,0.29808,0
45,859,861,2.484,0.29808,0
45,909,513,2.484,0.29808,0
45,915,725,5.175,0.621,1
45,922,135,6.209999999999999,0.7451999999999999,1
45,925,927,6.209999999999999,0.7451999999999999,1
45,926,904,2.484,0.29808,0
45,945,946,6.209999999999999,0.7451999999999999,0
45,948,70,2.484,0.29808,0
45,949,950,5.175,0.621,1
45,956,743,2.07,0.24839999999999998,0
45,957,592,2.07,0.24839999999999998,0
45,960,963,5.175,0.621,1
45,961,621,5.175,0.621,1
45,965,968,5.175,0.621,0
45,989,992,5.175,0.621,0
46,25,582,5.175,0.621,1
46,45,47,2.484,0.29808,0
46,48,51,2.484,0.29808,1
46,63,65,6.209999999999999,0.7451999999999999,1
46,64,66,6.209999999999999,0.7451999999999999,1
46,75,78,2.484,0.29808,1
46,111,941,5.175,0.621,1
46,112,115,2.07,0.24839999999999998,0
46,113,407,5.175,0.621,0
46,125,128,2.484,0.29808,1
46,131,280,2.484,0.29808,1
46,188,191,6.209999999999999,0.7451999999999999,1
46,219,814,5.175,0.621,1
46,236,98,6.209999999999999,0.7451999999999999,1
46,243,360,6.209999999999999,0.7451999999999999,0
46,288,291,6.209999999999999,0.7451999999999999,1
46,293,866,6.209999999999999,0.7451999999999999,1
46,295,296,6.209999999999999,0.7451999999999999,1
46,315,316,6.209999999999999,0.7451999999999999,1
46,332,335,2.484,0.29808,0
46,338,340,6.209999999999999,0.7451999999999999,1
46,348,351,2.07,0.24839999999999998,0
46,350,353,5.175,0.621,1
46,393,395,2.484,0.29808,0
46,418,420,1.875,0.22499999999999998,0
46,468,470,5.175,0.621,0
46,469,470,2.07,0.24839999999999998,0
46,472,804,5.175,0.621,1
46,479,482,5.175,0.621,1
46,493,494,2.484,0.29808,0
46,501,659,0.75,0.09,0
46,502,505,1.875,0.22499999999999998,0
46,529,532,5.175,0.621,0
46,544,546,6.209999999999999,0.7451999999999999,1
46,556,557,5.175,0.621,1
46,559,562,2.07,0.24839999999999998,0
46,560,562,5.175,0.621,1
46,601,603,6.209999999999999,0.7451999999999999,0
46,612,615,6.209999999999999,0.7451999999999999,0
46,637,645,5.175,0.621,1
46,638,171,5.175,0.621,1
46,670,673,2.484,0.29808,0
46,684,987,6.209999999999999,0.7451999999999999,1
46,688,690,2.484,0.29808,0
46,699,754,5.175,0.621,1
46,712,715,5.175,0.621,0
46,714,716,5.175,0.621,1
46,718,820,2.484,0.29808,0
46,751,92,6.209999999999999,0.7451999999999999,1
46,765,105,5.175,0.621,1
46,766,155,2.07,0.24839999999999998,1
46,773,774,2.484,0.29808,0
46,780,781,2.484,0.29808,0
46,783,785,2.484,0.29808,0
46,784,787,6.209999999999999,0.7451999999999999,0
46,788,790,2.484,0.29808,1
46,798,801,6.209999999999999,0.7451999999999999,1
46,806,807,5.175,0.621,1
46,811,743,2.07,0.24839999999999998,0
46,830,263,5.175,0.621,0
46,859,862,2.484,0.29808,0
46,879,880,2.07,0.24839999999999998,0
46,881,883,2.07,0.24839999999999998,1
46,884,31,2.484,0.29808,0
46,886,888,2.484,0.29808,0
46,889,891,6.209999999999999,0.7451999999999999,1
46,909,513,2.484,0.29808,0
46,921,924,6.209999999999999,0.7451999999999999,1
46,925,676,6.209999999999999,0.7451999999999999,0
46,926,904,2.484,0.29808,0
46,949,703,5.175,0.621,0
46,957,592,2.07,0.24839999999999998,0
46,962,964,2.07,0.24839999999999998,0
46,965,968,5.175,0.621,0
46,989,318,5.175,0.621,0
46,993,994,2.07,0.24839999999999998,1
47,44,47,5.175,0.621,1
47,62,229,5.175,0.621,0
47,84,85,6.209999999999999,0.7451999999999999,1
47,93,95,5.175,0.621,1
47,107,110,2.07,0.24839999999999998,0
47,113,983,5.175,0.621,1
47,131,132,2.484,0.29808,0
47,135,136,2.484,0.29808,0
47,187,361,6.209999999999999,0.7451999999999999,1
47,189,190,6.209999999999999,0.7451999999999999,1
47,192,194,6.209999999999999,0.7451999999999999,1
47,203,204,5.175,0.621,0
47,208,831,5.175,0.621,1
47,213,587,6.209999999999999,0.7451999999999999,1
47,216,150,6.209999999999999,0.7451999999999999,1
47,219,425,5.175,0.621,1
47,222,223,5.175,0.621,1
47,236,489,6.209999999999999,0.7451999999999999,1
47,249,251,6.209999999999999,0.7451999999999999,1
47,272,273,5.175,0.621,1
47,283,285,2.484,0.29808,0
47,287,289,6.209999999999999,0.7451999999999999,1
47,288,355,6.209999999999999,0.7451999999999999,1
47,332,333,2.484,0.29808,0
47,352,354,2.07,0.24839999999999998,0
47,377,378,2.07,0.24839999999999998,0
47,384,776,2.07,0.24839999999999998,0
47,387,933,6.209999999999999,0.7451999999999999,1
47,393,395,2.484,0.29808,1
47,399,838,2.484,0.29808,0
47,408,411,5.175,0.621,1
47,418,421,1.875,0.22499999999999998,0
47,472,204,5.175,0.621,1
47,479,481,5.175,0.621,0
47,493,494,2.484,0.29808,1
47,501,504,0.75,0.09,0
47,502,504,1.875,0.22499999999999998,0
47,529,532,5.175,0.621,0
47,555,558,2.484,0.29808,0
47,560,561,5.175,0.621,0
47,605,607,5.175,0.621,0
47,612,613,6.209999999999999,0.7451999999999999,1
47,621,622,5.175,0.621,0
47,668,671,5.175,0.621,0
47,670,671,2.484,0.29808,0
47,677,680,5.175,0.621,1
47,688,691,2.484,0.29808,0
47,707,710,5.175,0.621,1
47,711,371,6.209999999999999,0.7451999999999999,1
47,712,715,5.175,0.621,0
47,718,820,2.484,0.29808,1
47,725,727,5.175,0.621,0
47,737,740,5.175,0.621,1
47,741,744,5.175,0.621,1
47,742,743,6.209999999999999,0.7451999999999999,1
47,749,752,6.209999999999999,0.7451999999999999,0
47,751,752,6.209999999999999,0.7451999999999999,0
47,772,774,2.484,0.29808,0
47,773,776,2.484,0.29808,1
47,780,781,2.484,0.29808,0
47,783,786,2.484,0.29808,0
47,784,785,6.209999999999999,0.7451999999999999,1
47,800,802,6.209999999999999,0.7451999999999999,1
47,815,818,2.07,0.24839999999999998,1
47,832,846,2.07,0.24839999999999998,0
47,853,702,2.484,0.29808,0
47,859,862,2.484,0.29808,0
47,878,880,5.175,0.621,1
47,884,326,2.484,0.29808,1
47,887,888,6.209999999999999,0.7451999999999999,0
47,889,890,6.209999999999999,0.7451999999999999,0
47,910,911,2.484,0.29808,0
47,925,676,6.209999999999999,0.7451999999999999,0
47,926,615,2.484,0.29808,1
47,927,928,6.209999999999999,0.7451999999999999,0
47,940,589,6.209999999999999,0.7451999999999999,0
47,957,592,2.07,0.24839999999999998,0
47,963,899,5.175,0.621,0
47,970,971,5.175,0.621,1
47,989,991,5.175,0.621,1
47,993,487,2.07,0.24839999999999998,0
48,25,27,5.175,0.621,1
48,48,50,2.484,0.29808,0
48,51,52,2.484,0.29808,1
48,84,87,6.209999999999999,0.7451999999999999,1
48,93,94,5.175,0.621,0
48,98,101,2.484,0.29808,0
48,105,106,5.175,0.621,1
48,112,153,2.07,0.24839999999999998,0
48,113,407,5.175,0.621,0
48,114,115,5.175,0.621,0
48,117,10,2.07,0.24839999999999998,0
48,129,130,5.175,0.621,0
48,131,133,2.484,0.29808,0
48,135,136,2.484,0.29808,0
48,170,172,2.07,0.24839999999999998,1
48,191,398,6.209999999999999,0.7451999999999999,1
48,203,205,5.175,0.621,1
48,211,214,2.07,0.24839999999999998,1
48,212,721,5.175,0.621,1
48,222,225,5.175,0.621,0
48,236,608,6.209999999999999,0.7451999999999999,0
48,260,86,5.175,0.621,1
48,280,282,6.209999999999999,0.7451999999999999,0
48,296,297,6.209999999999999,0.7451999999999999,0
48,315,317,6.209999999999999,0.7451999999999999,1
48,332,333,2.484,0.29808,0
48,340,341,2.484,0.29808,0
48,346,349,2.07,0.24839999999999998,0
48,348,351,2.07,0.24839999999999998,0
48,352,356,2.07,0.24839999999999998,0
48,384,386,2.07,0.24839999999999998,0
